landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
/archives/2617,3,0,3,,2,0,2,,3,0,3,,1,0,1,,5.571509333333334,0,5.57,
/archives/2665,3,3,0,0%,2,3,-1,-33.33%,3,4,-1,-25%,1,1,0,0%,50.80175766666667,4.973385333333333,45.83,921.47%
/archives/2678,3,0,3,,3,0,3,,3,0,3,,0,0,0,,1.5637353333333335,0,1.56,
/archives/2726,3,0,3,,2,0,2,,3,0,3,,2,0,2,,101.65871066666666,0,101.66,
/archives/2746,3,3,0,0%,3,3,0,0%,3,3,0,0%,1,1,0,0%,70.72880033333333,14.637488333333335,56.09,383.2%
/archives/2770,3,0,3,,3,0,3,,4,0,4,,2,0,2,,205.68354766666667,0,205.68,
/archives/2937,3,4,-1,-25%,3,4,-1,-25%,3,4,-1,-25%,1,3,-2,-66.67%,85.34353433333332,368.00552325,-282.66,-76.81%
/archives/2964,3,0,3,,3,0,3,,3,0,3,,2,0,2,,101.33218633333335,0,101.33,
/archives/2968,3,4,-1,-25%,3,4,-1,-25%,6,4,2,50%,3,3,0,0%,822.4725833333333,74.20208699999999,748.27,1008.42%
/archives/3310,3,0,3,,3,0,3,,3,0,3,,2,0,2,,16.847393999999998,0,16.85,
/archives/3410,3,0,3,,1,0,1,,3,0,3,,0,0,0,,4.588133,0,4.59,
/archives/358,3,0,3,,3,0,3,,3,0,3,,2,0,2,,39.172345666666665,0,39.17,
/archives/3773,3,5,-2,-40%,3,5,-2,-40%,3,5,-2,-40%,3,3,0,0%,38.00067433333333,43.523117199999994,-5.52,-12.69%
/archives/3933,3,4,-1,-25%,3,4,-1,-25%,3,4,-1,-25%,0,1,-1,-100%,1.821159,13.8749515,-12.05,-86.87%
/archives/4161,3,0,3,,3,0,3,,3,0,3,,2,0,2,,52.51635633333333,0,52.52,
/archives/4185,3,0,3,,3,0,3,,4,0,4,,3,0,3,,163.17213533333333,0,163.17,
/archives/420,3,0,3,,3,0,3,,3,0,3,,2,0,2,,41.155087,0,41.16,
/archives/4207,3,0,3,,3,0,3,,3,0,3,,2,0,2,,326.0063823333333,0,326.01,
/archives/588,3,0,3,,3,0,3,,3,0,3,,1,0,1,,3.6947266666666665,0,3.69,
/archives/4154,0,21,-21,-100%,0,20,-20,-100%,0,32,-32,-100%,0,11,-11,-100%,0,133.2009559047619,-133.2,-100%
/archives/3189,0,9,-9,-100%,0,9,-9,-100%,0,9,-9,-100%,0,6,-6,-100%,0,100.20770433333333,-100.21,-100%
/archives/2268,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,4,-4,-100%,0,252.512936,-252.51,-100%
/archives/3205,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,0,0,,0,3.114351166666667,-3.11,-100%
/archives/658,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,144.86965966666665,-144.87,-100%
/archives/3995,0,5,-5,-100%,0,4,-4,-100%,0,5,-5,-100%,0,1,-1,-100%,0,144.84298040000002,-144.84,-100%
/archives/670,0,5,-5,-100%,0,5,-5,-100%,0,5,-5,-100%,0,4,-4,-100%,0,64.2563706,-64.26,-100%
/archives/1468,0,4,-4,-100%,0,3,-3,-100%,0,4,-4,-100%,0,3,-3,-100%,0,73.61839,-73.62,-100%
/archives/2256,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,3,-3,-100%,0,193.54342575,-193.54,-100%
/archives/2306,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%,0,8.531775,-8.53,-100%
/archives/2991,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%,0,189.36188625,-189.36,-100%
/archives/3776,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%,0,31.095506,-31.1,-100%
/archives/3905,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%,0,34.02624675,-34.03,-100%
/archives/841,0,4,-4,-100%,0,4,-4,-100%,0,4,-4,-100%,0,2,-2,-100%,0,147.83913800000002,-147.84,-100%
/archives/3784,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,1,-1,-100%,0,9.12129,-9.12,-100%
/archives/51,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,1,-1,-100%,0,5.884879333333333,-5.88,-100%
/archives/636,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,229.08598066666664,-229.09,-100%
/archives/883,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,1,-1,-100%,0,11.098971,-11.1,-100%
/pitch-viewer,0,3,-3,-100%,0,3,-3,-100%,0,3,-3,-100%,0,0,0,,0,4.313951666666667,-4.31,-100%
/archives/1016,0,2,-2,-100%,0,2,-2,-100%,0,2,-2,-100%,0,0,0,,0,1.9268025,-1.93,-100%
/archives/1141,0,2,-2,-100%,0,2,-2,-100%,0,2,-2,-100%,0,1,-1,-100%,0,56.72287,-56.72,-100%
