landingPagePlusQueryString,sessionDefaultChannelGroup,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct
(not set),Organic Search,434,450,-16,-3.56%,422,439,-17,-3.87%,3,4,-1,-25%,0,0,0,
/archives/149,Organic Search,250,254,-4,-1.57%,187,184,3,1.63%,69,66,3,4.55%,275,285,-10,-3.51%
/archives/105,Organic Search,246,232,14,6.03%,227,208,19,9.13%,177,173,4,2.31%,322,306,16,5.23%
/archives/185,Organic Search,168,200,-32,-16%,159,190,-31,-16.32%,94,127,-33,-25.98%,186,212,-26,-12.26%
/archives/209,Organic Search,160,0,160,,153,0,153,,121,0,121,,181,0,181,
/archives/621,Organic Search,0,164,-164,-100%,0,116,-116,-100%,0,99,-99,-100%,0,172,-172,-100%
