landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
/archives/158,3,3,0,0%,2,2,0,0%,4,3,1,33.33%,3,2,1,50%,27.514210000000002,18.99368133333333,8.52,44.86%
/archives/2114,3,3,0,0%,3,3,0,0%,3,3,0,0%,1,2,-1,-50%,59.303326,18.626510666666665,40.68,218.38%
/archives/2250,3,6,-3,-50%,3,5,-2,-40%,3,6,-3,-50%,2,4,-2,-50%,147.58715633333335,524.6923131666666,-377.11,-71.87%
/archives/2279,3,1,2,200%,3,1,2,200%,4,3,1,33.33%,2,1,1,100%,1052.737363,987.711413,65.03,6.58%
/archives/2348,3,5,-2,-40%,3,5,-2,-40%,3,5,-2,-40%,3,1,2,200%,336.20874166666664,44.630522,291.58,653.32%
/archives/2410,3,1,2,200%,3,1,2,200%,3,2,1,50%,3,1,2,200%,637.949522,610.592421,27.36,4.48%
/archives/2501,3,0,3,,3,0,3,,3,0,3,,3,0,3,,411.55042533333335,0,411.55,
/archives/2617,3,0,3,,2,0,2,,3,0,3,,1,0,1,,5.571509333333334,0,5.57,
/archives/2770,3,4,-1,-25%,3,4,-1,-25%,3,4,-1,-25%,2,3,-1,-33.33%,47.099636333333336,18.07870025,29.02,160.53%
/archives/2786,3,2,1,50%,3,1,2,200%,4,2,2,100%,2,0,2,,323.06043500000004,2.8205885,320.24,11353.65%
/archives/3136,3,0,3,,3,0,3,,4,0,4,,3,0,3,,180.26366299999998,0,180.26,
/archives/3211,3,2,1,50%,3,2,1,50%,3,2,1,50%,3,2,1,50%,319.833507,42.57641,277.26,651.2%
/archives/3268,3,1,2,200%,3,1,2,200%,4,1,3,300%,2,1,1,100%,222.90339566666668,55.765835,167.14,299.71%
/archives/3273,3,5,-2,-40%,3,5,-2,-40%,3,5,-2,-40%,1,4,-3,-75%,207.53285733333334,100.15062259999999,107.38,107.22%
/archives/3340,3,1,2,200%,3,1,2,200%,3,1,2,200%,2,0,2,,252.071326,0,252.07,
/archives/3533,3,1,2,200%,3,1,2,200%,3,1,2,200%,0,1,-1,-100%,0,12.876528,-12.88,-100%
/archives/3784,3,0,3,,3,0,3,,3,0,3,,1,0,1,,9.12129,0,9.12,
/archives/384,3,0,3,,3,0,3,,3,0,3,,1,0,1,,26.255343333333332,0,26.26,
/archives/3865,3,1,2,200%,3,1,2,200%,3,1,2,200%,0,0,0,,0,0,0,
/archives/3986,3,3,0,0%,3,3,0,0%,3,3,0,0%,2,3,-1,-33.33%,78.55514633333333,241.30344266666668,-162.75,-67.45%
/archives/4003,3,3,0,0%,2,3,-1,-33.33%,3,3,0,0%,1,2,-1,-50%,73.472301,14.610133,58.86,402.89%
/archives/4027,3,1,2,200%,3,1,2,200%,3,1,2,200%,0,1,-1,-100%,5.3546830000000005,26.64677,-21.29,-79.9%
/archives/4172,3,1,2,200%,3,1,2,200%,3,3,0,0%,2,1,1,100%,42.139703000000004,138.315622,-96.18,-69.53%
/archives/4202,3,0,3,,3,0,3,,3,0,3,,2,0,2,,20.858311999999998,0,20.86,
/archives/4204,3,0,3,,2,0,2,,4,0,4,,3,0,3,,727.3870270000001,0,727.39,
/archives/51,3,0,3,,3,0,3,,3,0,3,,1,0,1,,5.884879333333333,0,5.88,
/archives/570,3,5,-2,-40%,3,5,-2,-40%,3,5,-2,-40%,3,3,0,0%,61.20285833333333,109.67608539999999,-48.47,-44.2%
/archives/572,3,11,-8,-72.73%,3,11,-8,-72.73%,3,11,-8,-72.73%,1,7,-6,-85.71%,5.361721333333333,85.643784,-80.28,-93.74%
/archives/596,3,3,0,0%,3,3,0,0%,4,3,1,33.33%,3,2,1,50%,182.91679399999998,11.366489333333334,171.55,1509.26%
